image,label
data\glass\0.jpg,glass
data\glass\1.jpg,glass
data\glass\10.jpg,glass
data\glass\100.jpg,glass
data\glass\101.jpg,glass
data\glass\102.jpg,glass
data\glass\103.jpg,glass
data\glass\104.jpg,glass
data\glass\105.jpg,glass
data\glass\106.jpg,glass
data\glass\107.jpg,glass
data\glass\108.jpg,glass
data\glass\109.jpg,glass
data\glass\11.jpg,glass
data\glass\110.jpg,glass
data\glass\111.jpg,glass
data\glass\112.jpg,glass
data\glass\113.jpg,glass
data\glass\114.jpg,glass
data\glass\115.jpg,glass
data\glass\116.jpg,glass
data\glass\117.jpg,glass
data\glass\118.jpg,glass
data\glass\119.jpg,glass
data\glass\12.jpg,glass
data\glass\120.jpg,glass
data\glass\121.jpg,glass
data\glass\122.jpg,glass
data\glass\123.jpg,glass
data\glass\124.jpg,glass
data\glass\125.jpg,glass
data\glass\126.jpg,glass
data\glass\127.jpg,glass
data\glass\128.jpg,glass
data\glass\129.jpg,glass
data\glass\13.jpg,glass
data\glass\130.jpg,glass
data\glass\131.jpg,glass
data\glass\132.jpg,glass
data\glass\133.jpg,glass
data\glass\134.jpg,glass
data\glass\135.jpg,glass
data\glass\136.jpg,glass
data\glass\137.jpg,glass
data\glass\138.jpg,glass
data\glass\139.jpg,glass
data\glass\14.jpg,glass
data\glass\140.jpg,glass
data\glass\141.jpg,glass
data\glass\142.jpg,glass
data\glass\143.jpg,glass
data\glass\144.jpg,glass
data\glass\145.jpg,glass
data\glass\146.jpg,glass
data\glass\147.jpg,glass
data\glass\148.jpg,glass
data\glass\149.jpg,glass
data\glass\15.jpg,glass
data\glass\150.jpg,glass
data\glass\151.jpg,glass
data\glass\152.jpg,glass
data\glass\153.jpg,glass
data\glass\154.jpg,glass
data\glass\155.jpg,glass
data\glass\156.jpg,glass
data\glass\157.jpg,glass
data\glass\158.jpg,glass
data\glass\16.jpg,glass
data\glass\17.jpg,glass
data\glass\18.jpg,glass
data\glass\19.jpg,glass
data\glass\2.jpg,glass
data\glass\20.jpg,glass
data\glass\21.jpg,glass
data\glass\22.jpg,glass
data\glass\23.jpg,glass
data\glass\24.jpg,glass
data\glass\25.jpg,glass
data\glass\26.jpg,glass
data\glass\27.jpg,glass
data\glass\28.jpg,glass
data\glass\29.jpg,glass
data\glass\3.jpg,glass
data\glass\30.jpg,glass
data\glass\31.jpg,glass
data\glass\32.jpg,glass
data\glass\33.jpg,glass
data\glass\34.jpg,glass
data\glass\35.jpg,glass
data\glass\36.jpg,glass
data\glass\37.jpg,glass
data\glass\38.jpg,glass
data\glass\39.jpg,glass
data\glass\4.jpg,glass
data\glass\40.jpg,glass
data\glass\41.jpg,glass
data\glass\42.jpg,glass
data\glass\43.jpg,glass
data\glass\44.jpg,glass
data\glass\45.jpg,glass
data\glass\46.jpg,glass
data\glass\47.jpg,glass
data\glass\48.jpg,glass
data\glass\49.jpg,glass
data\glass\5.jpg,glass
data\glass\50.jpg,glass
data\glass\51.jpg,glass
data\glass\52.jpg,glass
data\glass\53.jpg,glass
data\glass\54.jpg,glass
data\glass\55.jpg,glass
data\glass\56.jpg,glass
data\glass\57.jpg,glass
data\glass\58.jpg,glass
data\glass\59.jpg,glass
data\glass\6.jpg,glass
data\glass\60.jpg,glass
data\glass\61.jpg,glass
data\glass\62.jpg,glass
data\glass\63.jpg,glass
data\glass\64.jpg,glass
data\glass\65.jpg,glass
data\glass\66.jpg,glass
data\glass\67.jpg,glass
data\glass\68.jpg,glass
data\glass\69.jpg,glass
data\glass\7.jpg,glass
data\glass\70.jpg,glass
data\glass\71.jpg,glass
data\glass\72.jpg,glass
data\glass\73.jpg,glass
data\glass\74.jpg,glass
data\glass\75.jpg,glass
data\glass\76.jpg,glass
data\glass\77.jpg,glass
data\glass\78.jpg,glass
data\glass\79.jpg,glass
data\glass\8.jpg,glass
data\glass\80.jpg,glass
data\glass\81.jpg,glass
data\glass\82.jpg,glass
data\glass\83.jpg,glass
data\glass\84.jpg,glass
data\glass\85.jpg,glass
data\glass\86.jpg,glass
data\glass\87.jpg,glass
data\glass\88.jpg,glass
data\glass\89.jpg,glass
data\glass\9.jpg,glass
data\glass\90.jpg,glass
data\glass\91.jpg,glass
data\glass\92.jpg,glass
data\glass\93.jpg,glass
data\glass\94.jpg,glass
data\glass\95.jpg,glass
data\glass\96.jpg,glass
data\glass\97.jpg,glass
data\glass\98.jpg,glass
data\glass\99.jpg,glass
data\metal\0.jpg,metal
data\metal\1.jpg,metal
data\metal\10.jpg,metal
data\metal\100.jpg,metal
data\metal\101.jpg,metal
data\metal\102.jpg,metal
data\metal\103.jpg,metal
data\metal\104.jpg,metal
data\metal\105.jpg,metal
data\metal\106.jpg,metal
data\metal\107.jpg,metal
data\metal\108.jpg,metal
data\metal\109.jpg,metal
data\metal\11.jpg,metal
data\metal\110.jpg,metal
data\metal\111.jpg,metal
data\metal\112.jpg,metal
data\metal\113.jpg,metal
data\metal\114.jpg,metal
data\metal\115.jpg,metal
data\metal\116.jpg,metal
data\metal\117.jpg,metal
data\metal\118.jpg,metal
data\metal\119.jpg,metal
data\metal\12.jpg,metal
data\metal\120.jpg,metal
data\metal\121.jpg,metal
data\metal\122.jpg,metal
data\metal\123.jpg,metal
data\metal\124.jpg,metal
data\metal\125.jpg,metal
data\metal\126.jpg,metal
data\metal\127.jpg,metal
data\metal\128.jpg,metal
data\metal\129.jpg,metal
data\metal\13.jpg,metal
data\metal\130.jpg,metal
data\metal\131.jpg,metal
data\metal\132.jpg,metal
data\metal\133.jpg,metal
data\metal\134.jpg,metal
data\metal\135.jpg,metal
data\metal\14.jpg,metal
data\metal\15.jpg,metal
data\metal\16.jpg,metal
data\metal\17.jpg,metal
data\metal\18.jpg,metal
data\metal\19.jpg,metal
data\metal\2.jpg,metal
data\metal\20.jpg,metal
data\metal\21.jpg,metal
data\metal\22.jpg,metal
data\metal\23.jpg,metal
data\metal\24.jpg,metal
data\metal\25.jpg,metal
data\metal\26.jpg,metal
data\metal\27.jpg,metal
data\metal\28.jpg,metal
data\metal\29.jpg,metal
data\metal\3.jpg,metal
data\metal\30.jpg,metal
data\metal\31.jpg,metal
data\metal\32.jpg,metal
data\metal\33.jpg,metal
data\metal\34.jpg,metal
data\metal\35.jpg,metal
data\metal\36.jpg,metal
data\metal\37.jpg,metal
data\metal\38.jpg,metal
data\metal\39.jpg,metal
data\metal\4.jpg,metal
data\metal\40.jpg,metal
data\metal\41.jpg,metal
data\metal\42.jpg,metal
data\metal\43.jpg,metal
data\metal\44.jpg,metal
data\metal\45.jpg,metal
data\metal\46.jpg,metal
data\metal\47.jpg,metal
data\metal\48.jpg,metal
data\metal\49.jpg,metal
data\metal\5.jpg,metal
data\metal\50.jpg,metal
data\metal\51.jpg,metal
data\metal\52.jpg,metal
data\metal\53.jpg,metal
data\metal\54.jpg,metal
data\metal\55.jpg,metal
data\metal\56.jpg,metal
data\metal\57.jpg,metal
data\metal\58.jpg,metal
data\metal\59.jpg,metal
data\metal\6.jpg,metal
data\metal\60.jpg,metal
data\metal\61.jpg,metal
data\metal\62.jpg,metal
data\metal\63.jpg,metal
data\metal\64.jpg,metal
data\metal\65.jpg,metal
data\metal\66.jpg,metal
data\metal\67.jpg,metal
data\metal\68.jpg,metal
data\metal\69.jpg,metal
data\metal\7.jpg,metal
data\metal\70.jpg,metal
data\metal\71.jpg,metal
data\metal\72.jpg,metal
data\metal\73.jpg,metal
data\metal\74.jpg,metal
data\metal\75.jpg,metal
data\metal\76.jpg,metal
data\metal\77.jpg,metal
data\metal\78.jpg,metal
data\metal\79.jpg,metal
data\metal\8.jpg,metal
data\metal\80.jpg,metal
data\metal\81.jpg,metal
data\metal\82.jpg,metal
data\metal\83.jpg,metal
data\metal\84.jpg,metal
data\metal\85.jpg,metal
