image_path,text_description,label
waste_dataset\glass\000189.jpg,clear glass waste material in trash,glass
waste_dataset\metal\000089.jpg,old metal container waste material,metal
waste_dataset\metal\000104.jpg,aluminum or steel waste item found,metal
waste_dataset\metal\000135.jpg,old metal container waste material,metal
waste_dataset\plastic\000266.jpg,empty plastic bottle waste object,plastic
waste_dataset\metal\000278.jpg,used tin can discarded as waste,metal
waste_dataset\paper\000104.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\cardboard\000171.jpg,old cardboard packaging garbage item,cardboard
waste_dataset\plastic\000324.jpg,plastic waste recycling object found,plastic
waste_dataset\cardboard\000322.jpg,brown cardboard packaging waste material,cardboard
waste_dataset\metal\000162.jpg,empty metal can thrown away,metal
waste_dataset\trash\000235.jpg,general trash item discarded,trash
waste_dataset\cardboard\000409.jpg,used cardboard carton for recycling,cardboard
waste_dataset\glass\000223.jpg,glass container discarded as garbage,glass
waste_dataset\paper\000343.jpg,a crumpled piece of paper waste,paper
waste_dataset\metal\000297.jpg,recycled metal can garbage item found,metal
waste_dataset\glass\000154.jpg,clear glass waste material in trash,glass
waste_dataset\plastic\000260.jpg,discarded plastic material waste item,plastic
waste_dataset\paper\000369.jpg,used newspaper or paper in trash bin,paper
waste_dataset\metal\000235.jpg,old metal container waste material,metal
waste_dataset\paper\000311.jpg,paper waste item found in garbage,paper
waste_dataset\metal\000069.jpg,recycled metal can garbage item found,metal
waste_dataset\glass\000185.jpg,broken glass item for recycling,glass
waste_dataset\plastic\000338.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\metal\000124.jpg,metal container for recycling bin,metal
waste_dataset\plastic\000359.jpg,plastic waste item for recycling,plastic
waste_dataset\paper\000356.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\trash\000090.jpg,general waste material discarded,trash
waste_dataset\metal\000028.jpg,used tin can discarded as waste,metal
waste_dataset\glass\000043.jpg,recycled glass waste object found,glass
waste_dataset\metal\000336.jpg,aluminum or steel waste item found,metal
waste_dataset\cardboard\000057.jpg,recycled cardboard box material waste,cardboard
waste_dataset\paper\000186.jpg,a crumpled piece of paper waste,paper
waste_dataset\paper\000341.jpg,torn paper piece in waste bin,paper
waste_dataset\glass\000054.jpg,a glass bottle found in waste bin,glass
waste_dataset\metal\000332.jpg,a crushed metal can in trash,metal
waste_dataset\plastic\000062.jpg,plastic waste item for recycling,plastic
waste_dataset\cardboard\000045.jpg,used cardboard carton for recycling,cardboard
waste_dataset\metal\000251.jpg,a crushed metal can in trash,metal
waste_dataset\paper\000358.jpg,recycled paper material waste object,paper
waste_dataset\paper\000267.jpg,white paper material discarded waste,paper
waste_dataset\trash\000013.jpg,general trash item discarded,trash
waste_dataset\paper\000291.jpg,white paper material discarded waste,paper
waste_dataset\glass\000192.jpg,clear glass waste material in trash,glass
waste_dataset\metal\000131.jpg,metal container for recycling bin,metal
waste_dataset\trash\000311.jpg,general household waste item found,trash
waste_dataset\paper\000194.jpg,torn paper piece in waste bin,paper
waste_dataset\cardboard\000044.jpg,cardboard material discarded in bin,cardboard
waste_dataset\metal\000285.jpg,old metal container waste material,metal
waste_dataset\metal\000018.jpg,old metal container waste material,metal
waste_dataset\metal\000106.jpg,steel or aluminum waste object,metal
waste_dataset\trash\000242.jpg,general household waste item found,trash
waste_dataset\plastic\000302.jpg,plastic packaging thrown in trash bin,plastic
waste_dataset\metal\000167.jpg,metal container for recycling bin,metal
waste_dataset\glass\000314.jpg,empty glass bottle discarded waste,glass
waste_dataset\glass\000174.jpg,glass jar or bottle thrown away,glass
waste_dataset\cardboard\000219.jpg,a flattened cardboard box in trash,cardboard
waste_dataset\paper\000106.jpg,used newspaper or paper in trash bin,paper
waste_dataset\trash\000265.jpg,non recyclable waste object in bin,trash
waste_dataset\plastic\000289.jpg,plastic waste recycling object found,plastic
waste_dataset\trash\000282.jpg,general household waste item found,trash
waste_dataset\metal\000163.jpg,steel or aluminum waste object,metal
waste_dataset\plastic\000087.jpg,used plastic container discarded waste,plastic
waste_dataset\trash\000292.jpg,general household waste item found,trash
waste_dataset\trash\000361.jpg,mixed waste garbage object found,trash
waste_dataset\paper\000108.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\plastic\000311.jpg,plastic waste recycling object found,plastic
waste_dataset\metal\000432.jpg,recycled metal can garbage item found,metal
waste_dataset\metal\000290.jpg,recycled metal can garbage item found,metal
waste_dataset\paper\000394.jpg,paper sheet thrown in recycling bin,paper
waste_dataset\glass\000140.jpg,glass container discarded as garbage,glass
waste_dataset\glass\000007.jpg,glass container discarded as garbage,glass
waste_dataset\glass\000058.jpg,empty glass bottle discarded waste,glass
waste_dataset\cardboard\000252.jpg,empty cardboard box thrown away,cardboard
waste_dataset\metal\000152.jpg,used tin can discarded as waste,metal
waste_dataset\cardboard\000299.jpg,old cardboard packaging garbage item,cardboard
