image_path,label,label_id,width,height,file_size_kb,corrupt
final_data\glass\0.jpg,glass,0,298,300,23.45,False
final_data\glass\1.jpg,glass,0,1300,956,188.08,False
final_data\glass\10.jpg,glass,0,1300,956,133.18,False
final_data\glass\100.jpg,glass,0,800,534,84.62,False
final_data\glass\101.jpg,glass,0,800,534,64.77,False
final_data\glass\102.jpg,glass,0,800,534,71.85,False
final_data\glass\103.jpg,glass,0,800,534,78.45,False
final_data\glass\104.jpg,glass,0,800,534,44.02,False
final_data\glass\105.jpg,glass,0,1836,1176,195.72,False
final_data\glass\106.jpg,glass,0,800,450,84.41,False
final_data\glass\107.jpg,glass,0,800,600,107.48,False
final_data\glass\108.jpg,glass,0,1050,1242,225.22,False
final_data\glass\109.jpg,glass,0,600,305,63.55,False
final_data\glass\11.jpg,glass,0,1300,956,163.41,False
final_data\glass\110.jpg,glass,0,480,244,41.51,False
final_data\glass\111.jpg,glass,0,3430,1960,512.2,False
final_data\glass\112.jpg,glass,0,626,417,53.48,False
final_data\glass\113.jpg,glass,0,2000,1334,643.85,False
final_data\glass\114.jpg,glass,0,1300,957,176.57,False
final_data\glass\115.jpg,glass,0,800,533,40.38,False
final_data\glass\116.jpg,glass,0,768,512,36.1,False
final_data\glass\117.jpg,glass,0,1600,1157,316.24,False
final_data\glass\118.jpg,glass,0,1464,980,195.19,False
final_data\glass\119.jpg,glass,0,1820,1024,527.29,False
final_data\glass\12.jpg,glass,0,960,540,112.39,False
final_data\glass\120.jpg,glass,0,838,557,64.56,False
final_data\glass\121.jpg,glass,0,770,433,81.42,False
final_data\glass\122.jpg,glass,0,900,506,146.81,False
final_data\glass\123.jpg,glass,0,600,400,23.25,False
final_data\glass\124.jpg,glass,0,768,480,124.01,False
final_data\glass\125.jpg,glass,0,1300,928,192.69,False
final_data\glass\126.jpg,glass,0,1200,900,264.47,False
final_data\glass\127.jpg,glass,0,1920,1280,419.82,False
final_data\glass\128.jpg,glass,0,735,490,133.98,False
final_data\glass\129.jpg,glass,0,1600,1157,297.79,False
final_data\glass\13.jpg,glass,0,1023,682,145.72,False
final_data\glass\130.jpg,glass,0,1344,768,91.14,False
final_data\glass\131.jpg,glass,0,1344,768,133.78,False
final_data\glass\132.jpg,glass,0,2030,1388,340.14,False
final_data\glass\133.jpg,glass,0,800,534,71.85,False
final_data\glass\134.jpg,glass,0,800,534,78.45,False
final_data\glass\135.jpg,glass,0,800,534,44.02,False
final_data\glass\136.jpg,glass,0,2245,1587,506.92,False
final_data\glass\137.jpg,glass,0,800,450,84.41,False
final_data\glass\138.jpg,glass,0,1050,1242,225.22,False
final_data\glass\139.jpg,glass,0,480,244,41.51,False
final_data\glass\14.jpg,glass,0,1600,1156,253.03,False
final_data\glass\140.jpg,glass,0,3430,1960,512.2,False
final_data\glass\141.jpg,glass,0,626,417,53.48,False
final_data\glass\142.jpg,glass,0,2000,1334,643.85,False
final_data\glass\143.jpg,glass,0,1300,956,234.65,False
final_data\glass\144.jpg,glass,0,800,533,40.38,False
final_data\glass\145.jpg,glass,0,768,512,36.1,False
final_data\glass\146.jpg,glass,0,1300,942,179.21,False
final_data\glass\147.jpg,glass,0,1600,1157,316.24,False
final_data\glass\148.jpg,glass,0,1464,980,195.19,False
final_data\glass\149.jpg,glass,0,1820,1024,527.29,False
final_data\glass\15.jpg,glass,0,600,221,39.64,False
final_data\glass\150.jpg,glass,0,838,557,64.56,False
final_data\glass\151.jpg,glass,0,770,433,81.42,False
final_data\glass\152.jpg,glass,0,900,506,146.81,False
final_data\glass\153.jpg,glass,0,600,400,23.25,False
final_data\glass\154.jpg,glass,0,768,480,124.01,False
final_data\glass\155.jpg,glass,0,1200,900,264.47,False
final_data\glass\156.jpg,glass,0,1920,1280,419.82,False
final_data\glass\157.jpg,glass,0,735,490,133.98,False
final_data\glass\158.jpg,glass,0,600,400,52.71,False
final_data\glass\159.jpg,glass,0,1600,1157,297.79,False
final_data\glass\16.jpg,glass,0,1200,800,204.35,False
final_data\glass\160.jpg,glass,0,1344,768,91.14,False
final_data\glass\161.jpg,glass,0,1344,768,133.78,False
final_data\glass\162.jpg,glass,0,2030,1388,340.14,False
final_data\glass\163.jpg,glass,0,800,534,71.85,False
final_data\glass\164.jpg,glass,0,800,534,78.45,False
final_data\glass\165.jpg,glass,0,800,534,44.02,False
final_data\glass\166.jpg,glass,0,2245,1587,506.92,False
final_data\glass\167.jpg,glass,0,800,450,84.41,False
final_data\glass\168.jpg,glass,0,1050,1242,225.22,False
final_data\glass\169.jpg,glass,0,480,244,41.51,False
final_data\glass\17.jpg,glass,0,1300,956,362.55,False
final_data\glass\170.jpg,glass,0,3430,1960,512.2,False
final_data\glass\171.jpg,glass,0,626,417,53.48,False
final_data\glass\172.jpg,glass,0,2000,1334,643.85,False
final_data\glass\173.jpg,glass,0,1300,956,234.65,False
final_data\glass\174.jpg,glass,0,800,533,40.38,False
final_data\glass\175.jpg,glass,0,768,512,36.1,False
final_data\glass\176.jpg,glass,0,1300,942,179.21,False
final_data\glass\177.jpg,glass,0,1600,1157,316.24,False
final_data\glass\178.jpg,glass,0,1464,980,195.19,False
final_data\glass\179.jpg,glass,0,1820,1024,527.29,False
final_data\glass\18.jpg,glass,0,500,500,47.37,False
final_data\glass\180.jpg,glass,0,838,557,64.56,False
final_data\glass\181.jpg,glass,0,770,433,81.42,False
final_data\glass\182.jpg,glass,0,900,506,146.81,False
final_data\glass\183.jpg,glass,0,600,400,23.25,False
final_data\glass\184.jpg,glass,0,768,480,124.01,False
final_data\glass\185.jpg,glass,0,1200,900,264.47,False
final_data\glass\186.jpg,glass,0,1920,1280,419.82,False
final_data\glass\187.jpg,glass,0,735,490,133.98,False
final_data\glass\188.jpg,glass,0,600,400,52.71,False
final_data\glass\189.jpg,glass,0,1200,800,126.9,False
final_data\glass\19.jpg,glass,0,390,280,32.0,False
final_data\glass\190.jpg,glass,0,600,400,52.71,False
final_data\glass\191.jpg,glass,0,600,400,52.71,False
final_data\glass\192.jpg,glass,0,800,534,84.62,False
final_data\glass\193.jpg,glass,0,800,534,64.77,False
final_data\glass\194.jpg,glass,0,800,534,71.85,False
final_data\glass\195.jpg,glass,0,800,534,78.45,False
final_data\glass\196.jpg,glass,0,800,534,44.02,False
final_data\glass\197.jpg,glass,0,1836,1176,195.72,False
final_data\glass\198.jpg,glass,0,800,450,84.41,False
final_data\glass\199.jpg,glass,0,800,600,107.48,False
final_data\glass\2.jpg,glass,0,1000,563,116.75,False
final_data\glass\20.jpg,glass,0,1023,682,93.78,False
final_data\glass\200.jpg,glass,0,1050,1242,225.22,False
final_data\glass\201.jpg,glass,0,600,305,63.55,False
final_data\glass\202.jpg,glass,0,480,244,41.51,False
final_data\glass\203.jpg,glass,0,3430,1960,512.2,False
final_data\glass\204.jpg,glass,0,626,417,53.48,False
final_data\glass\205.jpg,glass,0,2000,1334,643.85,False
final_data\glass\206.jpg,glass,0,1300,957,176.57,False
final_data\glass\207.jpg,glass,0,800,533,40.38,False
final_data\glass\208.jpg,glass,0,768,512,36.1,False
final_data\glass\209.jpg,glass,0,1600,1157,316.24,False
final_data\glass\21.jpg,glass,0,960,666,75.75,False
final_data\glass\210.jpg,glass,0,1464,980,195.19,False
final_data\glass\211.jpg,glass,0,1820,1024,527.29,False
final_data\glass\212.jpg,glass,0,838,557,64.56,False
final_data\glass\213.jpg,glass,0,770,433,81.42,False
final_data\glass\214.jpg,glass,0,900,506,146.81,False
final_data\glass\215.jpg,glass,0,600,400,23.25,False
final_data\glass\216.jpg,glass,0,768,480,124.01,False
final_data\glass\217.jpg,glass,0,1300,928,192.69,False
final_data\glass\218.jpg,glass,0,1200,900,264.47,False
final_data\glass\219.jpg,glass,0,1920,1280,419.82,False
final_data\glass\22.jpg,glass,0,390,280,23.17,False
final_data\glass\220.jpg,glass,0,735,490,133.98,False
final_data\glass\221.jpg,glass,0,600,400,52.71,False
final_data\glass\222.jpg,glass,0,1200,800,126.9,False
final_data\glass\223.jpg,glass,0,1600,1157,297.79,False
final_data\glass\224.jpg,glass,0,1344,768,91.14,False
final_data\glass\225.jpg,glass,0,1344,768,133.78,False
final_data\glass\226.jpg,glass,0,2030,1388,340.14,False
final_data\glass\227.jpg,glass,0,800,534,71.85,False
final_data\glass\228.jpg,glass,0,800,534,78.45,False
final_data\glass\229.jpg,glass,0,800,534,44.02,False
final_data\glass\23.jpg,glass,0,1001,1600,314.22,False
final_data\glass\230.jpg,glass,0,2245,1587,506.92,False
final_data\glass\231.jpg,glass,0,800,450,84.41,False
final_data\glass\232.jpg,glass,0,1050,1242,225.22,False
final_data\glass\233.jpg,glass,0,480,244,41.51,False
final_data\glass\234.jpg,glass,0,3430,1960,512.2,False
final_data\glass\235.jpg,glass,0,626,417,53.48,False
final_data\glass\236.jpg,glass,0,2000,1334,643.85,False
final_data\glass\237.jpg,glass,0,1300,956,234.65,False
final_data\glass\238.jpg,glass,0,800,533,40.38,False
final_data\glass\239.jpg,glass,0,768,512,36.1,False
final_data\glass\24.jpg,glass,0,1820,1024,97.77,False
final_data\glass\240.jpg,glass,0,1300,942,179.21,False
final_data\glass\241.jpg,glass,0,1600,1157,316.24,False
final_data\glass\242.jpg,glass,0,1464,980,195.19,False
final_data\glass\243.jpg,glass,0,1820,1024,527.29,False
final_data\glass\244.jpg,glass,0,838,557,64.56,False
final_data\glass\245.jpg,glass,0,770,433,81.42,False
final_data\glass\246.jpg,glass,0,900,506,146.81,False
final_data\glass\247.jpg,glass,0,600,400,23.25,False
final_data\glass\248.jpg,glass,0,768,480,124.01,False
final_data\glass\249.jpg,glass,0,1200,900,264.47,False
final_data\glass\25.jpg,glass,0,1500,1101,317.77,False
final_data\glass\250.jpg,glass,0,1920,1280,419.82,False
final_data\glass\251.jpg,glass,0,735,490,133.98,False
final_data\glass\252.jpg,glass,0,1600,1157,297.79,False
final_data\glass\253.jpg,glass,0,1344,768,91.14,False
final_data\glass\254.jpg,glass,0,1344,768,133.78,False
final_data\glass\255.jpg,glass,0,2030,1388,340.14,False
final_data\glass\256.jpg,glass,0,800,534,71.85,False
final_data\glass\257.jpg,glass,0,800,534,78.45,False
final_data\glass\258.jpg,glass,0,800,534,44.02,False
final_data\glass\259.jpg,glass,0,2245,1587,506.92,False
final_data\glass\26.jpg,glass,0,390,280,30.82,False
final_data\glass\260.jpg,glass,0,800,450,84.41,False
final_data\glass\261.jpg,glass,0,1050,1242,225.22,False
final_data\glass\262.jpg,glass,0,480,244,41.51,False
final_data\glass\263.jpg,glass,0,3430,1960,512.2,False
final_data\glass\264.jpg,glass,0,626,417,53.48,False
final_data\glass\265.jpg,glass,0,2000,1334,643.85,False
final_data\glass\266.jpg,glass,0,1300,956,234.65,False
final_data\glass\267.jpg,glass,0,800,533,40.38,False
final_data\glass\268.jpg,glass,0,768,512,36.1,False
final_data\glass\269.jpg,glass,0,1300,942,179.21,False
final_data\glass\27.jpg,glass,0,1500,1101,239.38,False
final_data\glass\270.jpg,glass,0,1600,1157,316.24,False
final_data\glass\271.jpg,glass,0,1464,980,195.19,False
final_data\glass\272.jpg,glass,0,1820,1024,527.29,False
final_data\glass\273.jpg,glass,0,838,557,64.56,False
final_data\glass\274.jpg,glass,0,770,433,81.42,False
final_data\glass\275.jpg,glass,0,900,506,146.81,False
final_data\glass\276.jpg,glass,0,600,400,23.25,False
final_data\glass\277.jpg,glass,0,768,480,124.01,False
final_data\glass\278.jpg,glass,0,1200,900,264.47,False
final_data\glass\279.jpg,glass,0,1920,1280,419.82,False
final_data\glass\28.jpg,glass,0,1500,1101,265.73,False
final_data\glass\280.jpg,glass,0,735,490,133.98,False
final_data\glass\281.jpg,glass,0,1200,800,126.9,False
final_data\glass\282.jpg,glass,0,600,400,52.71,False
final_data\glass\283.jpg,glass,0,800,534,84.62,False
final_data\glass\284.jpg,glass,0,800,534,64.77,False
final_data\glass\285.jpg,glass,0,800,534,71.85,False
final_data\glass\286.jpg,glass,0,800,534,78.45,False
final_data\glass\287.jpg,glass,0,800,534,44.02,False
final_data\glass\288.jpg,glass,0,1836,1176,195.72,False
final_data\glass\289.jpg,glass,0,800,450,84.41,False
final_data\glass\29.jpg,glass,0,390,280,20.27,False
final_data\glass\290.jpg,glass,0,800,600,107.48,False
final_data\glass\291.jpg,glass,0,1050,1242,225.22,False
final_data\glass\292.jpg,glass,0,600,305,63.55,False
final_data\glass\293.jpg,glass,0,480,244,41.51,False
final_data\glass\294.jpg,glass,0,3430,1960,512.2,False
final_data\glass\295.jpg,glass,0,626,417,53.48,False
final_data\glass\296.jpg,glass,0,2000,1334,643.85,False
final_data\glass\297.jpg,glass,0,1300,957,176.57,False
final_data\glass\298.jpg,glass,0,800,533,40.38,False
final_data\glass\299.jpg,glass,0,768,512,36.1,False
final_data\glass\3.jpg,glass,0,1300,956,297.82,False
final_data\glass\30.jpg,glass,0,1500,1101,252.12,False
final_data\glass\300.jpg,glass,0,1600,1157,316.24,False
